9,10.0,0.011064,249.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.444,3.1,4.173,4.908,5.761,6.175,5.82,5.954,5.816,6.211,5.973,6.818,5.309,5.87,6.109,5.427,5.076,4.792,4.147,3.581,3.324,3.089,3.206,2.681,3.229,3.836,3.969,4.588,5.286,5.681,7.041,7.481,7.972,9.029,9.98,11.164,11.168,11.44,10.226,7.91,6.394,4.332,2.786,0.769,0.2,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,45.0
10,11.0,0.013053,162.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747,1.728,2.338,2.782,2.1,2.582,3.406,2.943,2.885,3.185,2.622,2.551,2.769,2.795,3.27,2.76,2.561,2.529,2.217,2.326,1.623,1.362,1.642,1.587,1.9,1.693,1.748,1.614,2.025,2.927,3.21,3.603,4.726,5.544,5.454,6.374,7.608,8.609,10.232,10.475,10.464,8.906,5.474,1.982,0.559,0.086,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,41.0,47.0
11,12.0,0.01123,147.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,1.355,1.887,1.609,1.608,1.536,1.892,1.916,1.707,1.946,1.251,1.759,1.587,1.755,1.003,1.734,1.329,1.366,1.235,1.127,1.018,1.261,1.278,1.217,1.073,1.554,1.659,1.641,2.111,4.28,4.088,3.82,7.477,5.914,9.09,10.431,11.626,10.776,11.728,9.564,7.489,5.147,2.026,1.013,0.295,0.07,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,48.0
12,13.0,0.008169,133.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5894,1.3966,2.0022,2.159,2.3031,2.0197,2.2785,2.2197,2.6752,2.3994,1.878,1.6414,2.3627,1.6629,1.9133,1.9892,2.0117,1.6918,1.589,1.5693,1.6624,1.0934,0.8679,1.55,1.6785,1.637,1.7807,1.5497,2.4266,3.7051,3.8779,4.6455,5.2072,6.3985,6.5783,8.2696,8.8939,8.3469,8.1265,6.2812,5.2209,3.1852,1.9108,0.6541,0.0671,0.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,49.0
13,14.0,0.009472,111.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0827,0.4829,0.9842,1.0741,1.6314,1.377,2.0288,1.9865,1.5096,1.5239,1.2887,1.3253,1.4905,1.1905,1.1767,1.3961,1.098,1.0694,1.1018,1.0288,1.293,1.3964,1.0072,0.6941,0.8226,1.2349,1.3094,1.2647,1.1959,1.7168,1.4571,2.8005,3.4376,3.7296,4.629,4.8341,5.6985,6.6166,7.8111,7.5473,7.3615,7.957,5.446,3.4014,1.2535,0.3293,0.024,0.0423,0.0,0.0437,0.0,0.0,0.0,0.0,0.0,48.0,48.0
14,15.0,0.013669,135.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.137,1.622,1.463,1.741,1.683,1.969,1.716,1.489,1.848,1.126,1.587,1.337,1.217,1.456,1.292,1.383,0.853,1.401,1.132,0.938,0.958,0.835,0.769,0.941,1.255,1.565,1.653,2.071,2.057,3.278,3.791,3.76,4.541,5.798,6.571,8.703,10.459,8.726,9.058,10.952,8.544,5.207,3.152,0.963,0.248,0.082,0.0,0.041,0.0,0.0,0.04,0.0,0.0,49.0,45.0
15,16.0,0.011909,103.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3089,0.9079,0.8718,1.2815,1.3425,1.069,0.9465,0.9246,0.8319,0.9062,1.3959,1.1588,0.8086,1.0788,1.2548,0.9958,0.6956,0.7666,0.6482,0.8499,0.7121,0.4031,0.4534,0.7951,0.8983,0.7227,0.6787,0.7428,1.3626,1.4432,2.1315,2.4127,2.6925,3.3238,4.5152,4.5518,6.1121,7.6102,7.8514,7.5556,8.7989,7.8074,6.3044,3.3583,0.8151,0.0859,0.0391,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,48.0,42.0
16,17.0,0.011242,105.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703,0.5948,0.8115,1.1867,0.9856,1.5671,1.2653,1.2177,1.811,0.7829,1.3319,1.2108,0.8409,1.0335,1.2311,1.324,1.0716,1.0365,1.0453,0.8058,0.8932,0.7767,0.7663,0.6714,1.0364,0.84,1.3838,1.2464,1.693,1.7709,2.0319,2.5916,3.5434,4.0541,3.9209,5.3445,5.639,6.7138,7.5744,6.8976,7.1546,6.455,6.4822,3.0584,0.9116,0.2863,0.0,0.0766,0.0467,0.0,0.0,0.0,0.0,0.0,45.0,41.0
17,18.0,0.016921,124.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,0.927,1.237,0.928,1.185,1.107,1.4,1.324,1.601,1.183,1.22,0.878,1.076,0.655,0.852,0.669,0.911,1.011,0.834,0.676,0.564,0.724,0.714,0.549,0.683,0.903,0.888,0.989,1.72,1.932,2.107,2.807,2.88,3.161,4.294,5.652,7.313,7.455,9.893,9.644,10.836,10.742,8.815,5.936,2.137,0.918,0.042,0.001,0.115,0.121,0.0,0.0,0.0,0.0,42.0,39.0
18,19.0,0.012411,103.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4801,1.0876,1.4988,1.0077,0.9355,1.2285,1.922,1.4789,1.259,1.4798,1.2026,1.0972,0.6497,1.1731,0.8329,0.9245,0.8986,0.7024,0.8562,0.8483,0.5574,0.4522,0.6685,0.7909,0.5544,0.7172,0.8793,1.1198,1.4232,1.6422,2.0025,2.1551,2.3498,2.7475,3.4512,3.8588,6.1903,6.3556,7.1948,7.4768,9.6449,7.511,6.8223,3.8891,1.2038,0.3513,0.076,0.0334,0.0059,0.039,0.0,0.0,0.0,0.0,41.0,38.0
19,20.0,0.009294,113.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.2815,1.2149,1.6855,1.7013,1.962,1.6069,1.7021,1.2766,1.7403,1.5426,1.3243,1.3959,1.4617,1.1028,1.4761,1.6151,1.3603,1.171,1.0938,1.3758,1.3089,0.9795,1.2342,1.0537,1.1726,1.0013,1.4807,1.8069,2.2204,2.6856,2.5579,3.3611,4.3394,4.8452,4.9379,5.3078,6.5524,6.6557,7.0658,7.3569,6.6676,5.229,3.6602,1.4124,0.4572,0.0442,0.0161,0.0254,0.0188,0.0633,0.0,0.0,0.0,0.0,39.0,39.0
20,21.0,0.016674,164.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.662,1.726,1.862,1.745,1.776,2.03,1.847,1.862,1.713,1.724,1.687,2.216,1.896,2.244,1.613,1.489,1.656,1.137,1.072,1.271,1.02,1.024,1.272,0.953,1.587,1.376,1.554,1.633,2.161,2.703,3.578,3.969,4.368,6.157,7.766,8.398,10.913,10.156,13.438,12.47,12.772,12.267,6.32,2.85,0.521,0.0,0.058,0.059,0.086,0.053,0.066,0.0,0.0,0.0,38.0,41.0
21,22.0,0.008954,103.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4218,0.7672,1.3422,1.1999,0.8564,1.4199,1.5561,1.5635,1.505,1.3122,1.3018,1.3538,1.4586,1.56,1.6253,1.1505,1.3986,0.7882,1.2117,0.9126,1.1076,0.9755,0.9978,0.923,0.7874,1.1245,1.1938,1.2058,1.4764,1.7458,2.6669,2.5386,3.222,3.8181,4.7399,5.0664,5.8655,6.9204,6.7916,7.1756,6.9409,6.1694,3.7212,1.0336,0.0581,0.04,0.0,0.0397,0.0,0.0,0.0392,0.0,0.0,0.0,39.0,41.0
22,23.0,0.016604,167.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505,1.142,1.459,1.523,1.866,2.251,2.039,2.314,1.834,1.799,1.681,1.423,2.073,1.701,1.888,1.546,1.587,1.381,1.74,1.343,1.297,1.237,0.778,1.277,0.977,1.169,1.769,1.824,2.479,2.697,3.767,3.919,5.136,6.04,7.695,8.915,12.114,12.466,12.352,12.141,14.186,9.396,6.434,2.991,0.989,0.081,0.002,0.04,0.119,0.0,0.0,0.0,0.0,0.0,41.0,42.0
23,24.0,0.013166,142.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657,1.047,1.696,1.78,2.037,2.208,1.874,1.662,1.796,1.758,1.952,1.93,1.854,1.463,2.094,1.265,1.823,1.352,0.867,1.302,1.223,1.047,0.771,1.103,1.213,1.131,1.538,1.972,1.649,2.578,2.883,3.685,3.905,5.281,6.98,8.076,8.543,9.968,10.752,10.677,9.301,7.035,5.126,2.84,0.492,0.234,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,41.0,42.0
24,25.0,0.016826,154.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486,1.414,2.299,1.96,1.957,2.025,2.272,1.958,1.738,1.901,1.456,1.674,2.128,2.127,1.606,1.163,1.076,1.278,1.057,1.286,1.017,0.711,0.995,1.058,0.888,1.114,0.981,1.274,1.779,2.088,2.843,3.476,3.871,5.307,6.721,7.883,8.669,9.412,12.056,11.781,13.234,10.526,8.082,3.817,1.318,0.394,0.12,0.041,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0
25,26.0,0.00861,105.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.6075,0.94,1.0626,1.1322,1.7063,1.1787,1.5345,1.7215,1.762,1.2034,1.3189,1.7908,1.7342,1.4431,1.3027,1.4605,0.8526,1.4634,1.1187,1.1737,1.1958,1.1509,1.2461,1.0214,1.0704,1.2081,1.1918,1.1967,1.6865,2.0722,2.8478,2.7854,3.1975,4.1416,4.2972,5.6885,6.6863,7.5939,7.4282,6.7918,5.6447,4.2011,2.8079,1.3954,0.5488,0.1873,0.0865,0.0,0.043,0.0,0.0,0.0,0.0,0.0,42.0,41.0
26,27.0,0.010026,94.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0422,0.4716,0.8494,0.8656,1.0486,0.9678,1.5077,1.6204,0.9947,1.2866,1.0737,1.4113,0.7192,1.1647,1.3335,1.1467,1.0464,0.629,0.7776,0.6744,0.853,0.8645,0.5202,0.6094,0.7525,0.9232,0.616,0.9746,0.9614,1.385,1.3624,2.1567,1.9881,2.4556,2.9858,3.9985,4.4555,5.236,5.7175,7.1701,6.6931,7.4961,6.4007,4.9796,2.2213,0.9734,0.1318,0.0008,0.0012,0.0799,0.0,0.0,0.0,0.0,0.0,42.0,40.0
27,28.0,0.005265,68.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684,0.6456,0.7738,0.9109,1.0195,1.1437,1.5235,1.448,1.038,0.8495,1.0504,1.0126,0.8846,1.1342,1.2846,0.7102,0.9173,1.4465,1.1666,0.8275,0.5011,0.6924,0.6807,0.5522,0.6814,0.569,1.0303,0.6376,1.5064,1.5971,1.6726,2.4046,2.1555,3.1226,2.5608,2.9794,3.9361,3.6091,4.223,3.4711,2.9716,2.537,1.7363,1.3691,0.5693,0.135,0.041,0.0,0.0,0.0421,0.0,0.0,0.0,0.0,41.0,39.0
28,29.0,0.013074,116.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3984,0.8934,1.4682,1.3917,1.8428,1.6251,2.0267,1.449,2.2762,1.4373,1.8048,1.7072,1.6582,1.5178,1.7298,0.9532,1.1208,0.78,1.499,1.1862,1.0017,1.0343,0.96,1.0077,0.8702,1.0401,1.2499,1.3319,1.7496,2.2914,2.1321,2.8178,3.5851,3.7442,3.8223,5.3511,5.5998,6.4156,6.3036,6.0077,7.8041,6.3364,5.8933,4.5819,2.7418,1.2172,0.3774,0.068,0.0408,0.0,0.0,0.0,0.0,0.0,40.0,37.0
29,30.0,0.008165,73.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3799,0.7193,1.108,0.8341,1.0455,1.3263,1.2666,1.0774,0.9758,1.188,0.8297,1.0051,0.8909,1.0546,0.7984,0.9618,0.7741,0.6095,0.8838,0.592,0.8333,0.5759,0.353,0.834,0.9212,0.9244,0.9187,0.6616,1.0085,1.0918,1.2734,1.451,2.055,2.1535,2.634,2.9333,3.554,3.8988,4.6847,4.775,4.6427,4.3749,3.8835,2.4977,1.7964,0.5913,0.0,0.0337,0.006,0.0,0.0392,0.0,0.0,0.0,39.0,36.0
30,31.0,0.00626,67.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.7602,1.273,0.7668,1.1604,1.2704,1.6145,1.3343,1.1718,0.8494,1.1266,0.7277,0.9719,1.4362,1.0783,1.1874,0.6707,0.8458,0.935,0.5468,0.509,0.61,0.6765,0.6282,0.7234,0.8077,0.7071,0.9443,1.2074,1.5682,1.4928,1.65,1.9564,2.368,2.0127,2.3775,2.7701,3.0578,3.0244,4.7434,3.9445,3.324,2.8911,2.0495,0.6336,0.4769,0.0388,0.0803,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0
31,32.0,0.011555,112.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3717,1.3808,1.4954,1.2507,1.9088,1.2126,1.5265,1.4647,1.7263,1.4606,1.4901,1.1085,1.3167,1.6715,1.8096,1.2673,0.8267,0.8853,1.1797,1.106,0.8401,0.6165,0.5621,0.9627,1.0925,1.4098,1.2897,1.6699,1.156,1.8945,2.7998,3.2563,3.5951,3.958,4.3625,5.9519,7.3161,7.2788,6.8504,6.8588,5.8901,5.2684,4.64,2.9419,1.7097,1.0394,0.3335,0.0994,0.006,0.0,0.059,0.0589,0.0,0.0,36.0,36.0
32,33.0,0.005268,84.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4746,1.2307,1.4201,1.7177,1.9022,1.744,1.5594,1.7584,1.508,1.6999,1.3885,1.536,1.8349,1.3559,1.5125,1.7593,1.0799,1.2224,1.4422,1.1546,0.9388,1.1659,1.1143,0.9664,0.9879,1.3243,1.3385,1.3529,2.0427,2.3292,2.8656,2.3235,2.7,3.8144,3.4047,3.3082,3.3985,3.2845,3.3733,2.8562,3.6443,2.6194,2.0789,1.4525,0.3755,0.0622,0.0387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,37.0
33,34.0,0.012296,133.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6252,1.1217,1.4409,1.7724,1.8769,1.6693,1.9679,2.064,1.7248,1.9837,1.8646,1.6657,1.7979,1.7513,1.9412,1.8571,1.4851,1.1496,1.3631,1.606,1.1041,1.0235,0.8421,1.0731,1.0689,1.1533,1.1009,1.807,2.4314,2.1783,2.9594,3.7634,3.9101,4.9658,6.3055,7.252,7.433,9.3796,9.1332,8.9322,8.3263,6.4014,4.1833,2.6663,1.1086,0.3545,0.2859,0.0575,0.0059,0.039,0.0,0.0,0.0,0.0,36.0,39.0
34,35.0,0.00891,106.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0701,0.4783,1.2566,1.7549,1.6481,1.4512,2.3236,2.0602,1.9251,2.0446,1.9876,1.6675,1.941,1.5671,1.4544,1.6046,2.2492,1.7137,1.6401,1.4424,1.1723,1.0634,0.96,0.7977,0.6979,1.2417,1.6358,1.6047,1.7081,1.7964,1.4497,1.9725,3.1085,3.0133,3.5203,4.1654,5.0838,6.1562,5.9384,6.0398,4.9787,4.175,4.4017,3.2507,2.3188,1.6474,0.5248,0.1967,0.0936,0.0,0.0,0.0,0.0,0.0,0.0,37.0,40.0
